,index,Institution,State,Location,Type,Enrollment,Accreditation,Public/Private,Endowment,Athletics,Founded,Closed,Control
0,0,Air University,Alabama,Montgomery,Master's university,,SACS,,,,1946,,Public
1,1,Alabama A&M University,Alabama,Normal,Master's university,6172,SACS,,,,1875,,Public
2,2,Alabama College of Osteopathic Medicine,Alabama,Dothan,Medical school,660,AOA's COCA,,,,2010,,Private
3,3,Alabama State University,Alabama,Montgomery,Master's university,4190,SACS,,,,1867,,Public
4,4,Amridge University,Alabama,Montgomery,Special-focus institution,833,SACS,,,,1967,,Private
5,5,Athens State University,Alabama,Athens,Baccalaureate college,2941,SACS,,,,1822,,Public
6,6,Auburn University,Alabama,Auburn,Research university,30460,SACS,,,,1856,,Public
7,7,Auburn University at Montgomery,Alabama,Montgomery,Master's university,5188,SACS,,,,1967,,Public
8,8,Bevill State Community College,Alabama,Sumiton,Associate's college,3787,SACS,,,,1963,,Public
9,9,Birmingham School of Law,Alabama,Birmingham,Law school,400,Alabama Bar Association,,,,1915,,Private
10,10,Birmingham–Southern College,Alabama,Birmingham,Baccalaureate college,1209,SACS,,,,1856,,Private
11,11,Bishop State Community College,Alabama,Mobile,Associate's college,2846,SACS,,,,1927,,Public
12,12,Calhoun Community College,Alabama,Tanner,Associate's college,9315,SACS,,,,1965,,Public
13,13,Central Alabama Community College,Alabama,Alexander City,Associate's college,1799,SACS,,,,1989,,Public
14,14,Chattahoochee Valley Community College,Alabama,Phenix City,Associate's college,1592,SACS,,,,1974,,Public
15,15,Coastal Alabama Community College,Alabama,Bay Minette,Associate's college,7535,SACS,,,,1965,,Public
16,16,Columbia Southern University,Alabama,Orange Beach,Master's university,"20,034",DEAC,,,,1993,,Private
17,17,Community College of the Air Force,Alabama,Montgomery,Associate's college,,SACS,,,,1979,,Public
18,18,Enterprise State Community College,Alabama,Enterprise,Associate's college,1804,SACS,,,,1965,,Public
19,19,Faulkner University,Alabama,Montgomery,Baccalaureate college,3036,SACS,,,,1942,,Private
20,20,Gadsden State Community College,Alabama,Gadsden,Associate's college,4599,SACS,,,,1985,,Public
21,21,H. Councill Trenholm State Community College,Alabama,Montgomery,Associate's college,2042,SACS,,,,1966,,Public
22,22,Heritage Christian University,Alabama,Florence,Special-focus institution,86,ABHE,,,,1971,,Private
23,23,Highlands College,Alabama,Birmingham,Special-focus institution,,ABHE,,,,2011,,Private
24,24,Huntingdon College,Alabama,Montgomery,Baccalaureate college,1008,SACS,,,,1854,,Private
25,25,Huntsville Bible College,Alabama,Huntsville,Special-focus institution,145,ABHE,,,,1986,,Private
26,26,J.F. Drake State Community and Technical College,Alabama,Huntsville,Associate's college,1062,SACS,,,,1961,,Public
27,27,J. F. Ingram State Technical College,Alabama,Deatsville,Associate's college,485,COE,,,,1965,,Public
28,28,Jacksonville State University,Alabama,Jacksonville,Master's university,9021,SACS,,,,1883,,Public
29,29,Jefferson State Community College,Alabama,Birmingham,Associate's college,8711,SACS,,,,1965,,Public
30,30,Lawson State Community College,Alabama,Birmingham,Associate's college,3375,SACS,,,,1950,,Public
31,31,Lurleen B. Wallace Community College,Alabama,Andalusia,Associate's college,1767,SACS,,,,1969,,Public
32,32,Marion Military Institute,Alabama,Marion,Associate's college,409,SACS,,,,1842,,Public
33,33,Miles College,Alabama,Fairfield,Baccalaureate college,1456,SACS,,,,1905,,Private
34,34,Miles Law School,Alabama,Fairfield,Law school,,Alabama Bar Association,,,,1974,,Private
35,35,Northeast Alabama Community College,Alabama,Rainsville,Associate's college,2981,SACS,,,,1963,,Public
36,36,Northwest–Shoals Community College,Alabama,Muscle Shoals,Associate's college,3512,SACS,,,,1993,,Public
37,37,Oakwood University,Alabama,Huntsville,Baccalaureate college,1526,SACS,,,,1896,,Private
38,38,Reid State Technical College,Alabama,Evergreen,Associate's college,549,COE,,,,1966,,Public
39,39,Samford University,Alabama,Birmingham,Master's university,5692,SACS,,,,1841,,Private
40,40,Selma University,Alabama,Selma,Special-focus institution,323,ABHE,,,,1878,,Private
41,41,Shelton State Community College,Alabama,Tuscaloosa,Associate's college,4201,SACS,,,,1979,,Public
42,42,Snead State Community College,Alabama,Boaz,Associate's college,2237,SACS,,,,1898,,Public
43,43,Southern Union State Community College,Alabama,Wadley,Associate's college,4655,SACS,,,,1994,,Public
44,44,Spring Hill College,Alabama,Mobile,Master's university,1290,SACS,,,,1830,,Private
45,45,Stillman College,Alabama,Tuscaloosa,Baccalaureate college,861,SACS,,,,1876,,Private
46,46,Talladega College,Alabama,Talladega,Baccalaureate college,1239,SACS,,,,1867,,Private
47,47,Troy University,Alabama,Troy,Master's university,16436,SACS,,,,1887,,Public
48,48,Tuskegee University,Alabama,Tuskegee,Baccalaureate college,2876,SACS,,,,1881,,Private
49,49,United States Sports Academy,Alabama,Daphne,Special-focus institution,499,SACS,,,,1972,,Private
50,50,University of Alabama,Alabama,Tuscaloosa,Research university,38100,SACS,,,,1831,,Public
51,51,University of Alabama at Birmingham,Alabama,Birmingham,Research university,22080,SACS,,,,1966,,Public
52,52,University of Alabama in Huntsville,Alabama,Huntsville,Research university,9988,SACS,,,,1969,,Public
53,53,University of Mobile,Alabama,Prichard,Master's university,1989,SACS,,,,1961,,Private
54,54,University of Montevallo,Alabama,Montevallo,Master's university,2553,SACS,,,,1896,,Public
55,55,University of North Alabama,Alabama,Florence,Master's university,7702,SACS,,,,1830,,Public
56,56,University of South Alabama,Alabama,Mobile,Research university,14397,SACS,,,,1963,,Public
57,57,University of West Alabama,Alabama,Livingston,Master's university,5653,SACS,,,,1835,,Public
58,58,Wallace Community College,Alabama,Dothan,Associate's college,4478,SACS,,,,1949,,Public
59,59,Wallace Community College Selma,Alabama,Selma,Associate's college,1529,SACS,,,,1963,,Public
60,60,Wallace State Community College,Alabama,Hanceville,Associate's college,4985,SACS,,,,1966,,Public
61,61,Columbia College Missouri,Alabama,Redstone Arsenal,,,HLC,,,,,,Private
62,62,Edward Via College of Osteopathic Medicine,Alabama,Auburn,,,AOA's COCA,,,,,,Private
63,63,Embry-Riddle Aeronautical University,Alabama,"Huntsville, Fort Rucker, Mobile",,,SACS,,,,,,Private
64,64,Florida Institute of Technology,Alabama,Huntsville,,,SACS,,,,,,Private
65,65,Southeastern University,Alabama,"Birmingham, Cullman, Florence, Huntsville",,,SACS,,,,,,Private
66,66,United States Army Command and General Staff College,Alabama,Redstone Arsenal,,,HLC,,,,,,Public
67,67,Concordia College Alabama,Alabama,Selma,Baccalaureate college,,,,,,1922,2018,Private
68,68,Daniel Payne College,Alabama,Birmingham,Baccalaureate college,,,,,,1889,1979,Private
69,69,Judson College,Alabama,Marion,Baccalaureate college,,,,,,1838,2021,Private
70,70,Southeastern Bible College,Alabama,Birmingham,Special-focus institution,,,,,,1934,2017,Private
71,71,Southern Benedictine College,Alabama,Cullman,Baccalaureate college,,,,,,1929,1979,Private
72,72,Virginia College,Alabama,Birmingham,Baccalaureate/Associate's college,,,,,,1983,2018,Private
73,73,University of Alaska Anchorage,Alaska,Anchorage,Doctoral university,14004.0,,,,,1954,,Public
74,74,University of Alaska Fairbanks,Alaska,Fairbanks,Doctoral university,9330.0,,,,,1917,,Public
75,75,University of Alaska Southeast,Alaska,Juneau,Master's university,3458.0,,,,,1972,,Public
76,76,Alaska Bible College,Alaska,Glennallen,Baccalaureate / Associates Colleges,81.0,,,,,1966,,Private
77,77,Alaska Pacific University,Alaska,Anchorage,Masters University,502.0,,,,,1957,,Private
78,78,Saint Herman Theological Seminary,Alaska,Kodiak,Faith-related Institution,,,,,,1972,,Private
79,79,Wayland Baptist University,Alaska,Anchorage,Masters University,4503.0,,,,,1908,,Private
80,80,Arizona State University,Arizona,Tempe,Doctoral University,74795,,,,,1885,,Public
81,81,Northern Arizona University,Arizona,Flagstaff,Doctoral University,29566,,,,,1899,,Public
82,82,University of Arizona,Arizona,Tucson,Doctoral University,45601,,,,,1885,,Public
83,83,Arizona Christian University,Arizona,Glendale,Baccalaureate College,925,,,,,1960,,Private
84,84,Benedictine University at Mesa,Arizona,Mesa,Master's University,,,,,,1887,,Private
85,85,Embry-Riddle Aeronautical University,Arizona,Prescott,Baccalaureate College,3004,,,,,1978,,Private
86,86,Prescott College,Arizona,Prescott,Master's University,970,,,,,1966,,Private
87,87,Ottawa University,Arizona,Surprise,Master's University,1882,,,,,1865,,Private
88,88,Park University,Arizona,Glendale,Master's University,?,,,,,1875,,Private
89,89,A.T. Still University,Arizona,Phoenix,Special Focus: Medical,?,,,,,1892,,Private
90,90,Cummings Graduate Institute for Behavioral Health Studies,Arizona,Phoenix,Not classified,,,,,,2015,,Private
91,91,Fuller Theological Seminary,Arizona,Phoenix,Special Focus: Faith-based,?,,,,,1947,,Private
92,92,Midwestern University,Arizona,Glendale,Special Focus: Medical,3927,,,,,1900,,Private
93,93,Phoenix Seminary,Arizona,Phoenix,Special Focus: Faith-based,260,,,,,1988,,Private
94,94,Southwest College of Naturopathic Medicine,Arizona,Tempe,Special Focus: Medical,509,,,,,1993,,Private
95,95,The School of Architecture,Arizona,Paradise Valley,Special Focus: Other,10,,,,,1932,,Private
96,96,Arizona College of Nursing,Arizona,Phoenix,Special Focus: Health Professions,1810,,,,,1885,,Private
97,97,Brookline College,Arizona,Phoenix,Special Focus: Health Professions,2456,,,,,1972,,Private
98,98,Bryan University,Arizona,Tempe,Baccalaureate College,1350,,,,,1940,,Private
